rows_returned,queries_with_project_columns,project_col_time,queries_with_all_star,all_star_time,queries_with_table_star,avg_table_star_time
0,13013367,737233.7091,387842,111996.0770,561,63.9967
1,15027720,562297.1209,695284,88069.2106,1778,236.6152
2,320956,1346559.5090,14484,74408.1984,65,2728.3959
3,952547,779826.4448,6653,3806.3388,1,0.3392
4,347110,584867.7069,6646,14540.9374,0,0.0000
5,59915,1967834.2147,4557,61091.2149,0,0.0000
6,59815,3373572.8787,9501,43478.4512,0,0.0000
7,115113,1971923.6586,4491,33656.6081,0,0.0000
8,42332,2856737.5206,2671,67293.3856,0,0.0000
9,34920,3540729.4432,1166,31863.9529,0,0.0000
10,100675,1021726.7971,3563,73911.6981,227,30811.8798
11,61111,1007521.0368,1020,10965.1722,0,0.0000
12,42756,2030446.2015,1621,38102.8071,16,4257.5570
13,8348,1834579.2249,1292,58112.0266,0,0.0000
14,13116,2676659.8018,847,77108.5283,0,0.0000
15,84856,860782.0601,2374,106136.0680,0,0.0000
16,7809,13273902.2619,815,80775.4057,0,0.0000
17,29072,1644086.6991,4199,175184.5547,0,0.0000
18,8522,5690812.6834,287,21302.2855,0,0.0000
19,16717,1768060.2759,382,23764.2767,0,0.0000
20,13242,43951664.8737,413,48986.5508,0,0.0000
21,18520,1166578.1389,5881,571269.1465,0,0.0000
22,10853,1494318.0501,4205,685824.1349,0,0.0000
23,12716,1868977.0627,2401,331469.2964,0,0.0000
24,9681,2038832.0221,1837,396281.0497,0,0.0000
25,47290,8268965.3523,443,14288.4077,0,0.0000
26,8010,4722338.9841,311,33486.1662,0,0.0000
27,4734,3311216.2137,600,276708.6119,0,0.0000
28,6085,36094966.0232,625,107467.7066,0,0.0000
29,5994,3606417.6704,116,16213.9334,0,0.0000
30,14511,36773639.4706,125,10697.4630,0,0.0000
31,3039,2403723.0743,341,47858.8805,0,0.0000
32,4361,1863213.8041,127,25515.7155,0,0.0000
33,6727,2038364.5244,145,106418.7331,0,0.0000
34,1949,4456999.4545,71,186442.8386,0,0.0000
35,3389,1570698.7522,134,65684.6355,0,0.0000
36,11384,1511943.2221,60,5048.9886,0,0.0000
37,2653,3192252.7025,53,12789.4035,0,0.0000
38,3519,2330834.1326,64,14186.5822,0,0.0000
39,1394,4954709.8451,65,21657.9280,0,0.0000
40,2460,3210460.5706,153,83842.9238,0,0.0000
41,1387,2432282.0348,79,36324.4297,0,0.0000
42,15845,952527.9930,262,19977.5917,0,0.0000
43,1319,2294339.2737,40,76019.8609,0,0.0000
44,32072,913574.6143,21,298.8532,0,0.0000
45,899,3202499.3595,58,53161.4880,0,0.0000
46,1009,4102139.6673,100,709008.4509,0,0.0000
47,867,3859465.3359,26,27535.2833,0,0.0000
48,2566,1122752.0693,32,32650.9577,0,0.0000
49,3032,1839021.5542,32,7731.3495,32,88649.6070
50,84741,1079432.1827,146,3056.8082,3,229.3895
51,892,3081900.4576,52,509948.1377,0,0.0000
52,6153,2797298.5443,466,148235.5809,0,0.0000
53,76994,774572.2138,11,103.2394,0,0.0000
54,3280,1021711.6109,15,2434.9560,0,0.0000
55,642,2548976.3328,16,11081.9559,0,0.0000
56,1555,5256200.2364,99,808703.5478,0,0.0000
57,618,4534907.5701,31,1082159.5670,0,0.0000
58,1403,1538651.6214,84,78259.2555,0,0.0000
59,5707,1339661.7741,3250,1664182.9958,0,0.0000
60,2151,2102266.3168,1577,1824120.0735,0,0.0000
61,2350,1424821.8749,1447,1677727.7248,0,0.0000
62,1619,2268255.1285,684,1214268.5185,0,0.0000
63,447,5362707.2662,30,244046.1216,0,0.0000
64,828,7483880.5689,21,82442.0330,0,0.0000
65,258,9079916.1353,8,32806.4361,0,0.0000
66,29644,765603.4290,17,1682.8320,0,0.0000
67,703,2900697.7611,218,1430794.4365,0,0.0000
68,1218,2186216.1319,2776,1490152.0608,0,0.0000
69,1053,2528500.8064,450,2072764.2096,0,0.0000
70,406,1823097.8985,382,1851633.4365,0,0.0000
71,13353,446317.8527,57,30999.8100,0,0.0000
72,456,24171075.3779,158,2041705.2687,0,0.0000
73,20408,677638.2547,287,548222.7520,0,0.0000
74,1084,11861473.9630,675,42120233.0250,0,0.0000
75,34822,600594.6397,404,278849.0460,0,0.0000
76,350,10678626.9949,42,1862093.1454,0,0.0000
77,11228,523404.9008,25,23200.7806,0,0.0000
78,32330,439049.8854,106,30386.5398,0,0.0000
79,182,9218949.5291,24,1048468.0825,0,0.0000
80,1649,2433079.5091,1056,2474282.6348,0,0.0000
81,1047,15452731.3476,167,456116.1573,0,0.0000
82,12945,571966.2773,4,1774.1957,0,0.0000
83,2582,737600.1335,32,26302.5011,0,0.0000
84,272,2263598.6540,17,238957.7924,0,0.0000
85,425,2405818.6099,21,2004210.3430,0,0.0000
86,315,2722377.1957,12,955301.0306,0,0.0000
87,114,3238121.4915,4,771961.5085,0,0.0000
88,10507,488969.1115,152,36169.3668,0,0.0000
89,196,7785524.4873,1,2237.9949,0,0.0000
90,176,8797840.9261,0,0.0000,0,0.0000
91,516,1979786.7070,13,521422.5047,0,0.0000
92,163,5676028.8727,2,37451.0727,0,0.0000
93,605,8584546.3344,2,287604.3394,0,0.0000
94,374,14278154.4144,0,0.0000,0,0.0000
95,198,4793313.8762,12,6569819.1905,0,0.0000
96,439,8021265.8523,1,140607.1250,0,0.0000
97,103,5308406.9223,0,0.0000,0,0.0000
98,243,4515353.2016,0,0.0000,0,0.0000
99,109,8091626.2091,1,158152.4636,0,0.0000
100,1423,16561196.8541,3,2161.9705,0,0.0000
101,1663,9472467.5640,0,0.0000,0,0.0000
102,384,10804277.9792,1,1033.0078,0,0.0000
103,165,23971226.5210,2,134502.8743,0,0.0000
104,214,8021903.3779,3,7111090.8618,0,0.0000
105,224,22129183.8182,7,2721613.2294,0,0.0000
106,177,17845137.5217,7,2032559.4402,0,0.0000
107,105,9765245.3486,4,1303744.2661,0,0.0000
108,161,3247854.4638,281,4495048.9910,0,0.0000
109,86,15862721.7442,0,0.0000,0,0.0000
110,104,12727827.3365,0,0.0000,0,0.0000
111,897,4224486.5981,61,249358.8633,0,0.0000
112,105,1786148.0587,253,2920177.4693,0,0.0000
113,83,8940701.2500,1,10427.2024,0,0.0000
114,96,4574729.3229,0,0.0000,0,0.0000
115,135,6433574.3478,3,2480888.0507,0,0.0000
116,3228,700164.7575,1,175.0895,0,0.0000
117,76,15780239.2632,0,0.0000,0,0.0000
118,78,6059656.8846,0,0.0000,0,0.0000
119,209,5410586.6619,1,25699.6524,0,0.0000
120,168,18878537.2024,0,0.0000,0,0.0000
121,185,9241974.5508,2,70133.1337,0,0.0000
122,149,3518375.8344,2,163383.3510,0,0.0000
123,198,3204719.4221,1,100004.4472,0,0.0000
124,57,8089780.4561,0,0.0000,0,0.0000
125,59,3769343.0169,0,0.0000,0,0.0000
126,106,6970318.3271,1,11545.4673,0,0.0000
127,242,15115674.5331,0,0.0000,0,0.0000
128,128,10103818.1328,0,0.0000,0,0.0000
