rows_range,queries_with_project_columns,project_col_time,queries_with_all_star,all_star_time,queries_with_table_star,avg_table_star_time
0,29661700,654067.1421,1110909,94868.3233,2405,178.5250
1,538101,2051451.0193,30729,47246.9504,243,5988.2805
2,211988,4376343.5189,22794,216746.5774,0,0.0000
3,102700,12249611.9641,2904,45429.8684,0,0.0000
4,75422,1398624.4234,931,14580.1670,0,0.0000
5,180433,1078888.6046,938,14932.3195,35,1604.9676
6,17320,2238868.7292,7239,1352790.5554,0,0.0000
7,68583,1324235.0708,5028,1345000.0134,0,0.0000
8,97407,832987.4260,1877,195628.7495,0,0.0000
9,13391,1704228.7229,207,157369.5132,0,0.0000
10,4941,11350242.4799,23,609986.9684,0,0.0000
11,2038,7337816.8857,614,1665455.7247,0,0.0000
12,4483,2779170.8825,10,90365.3481,0,0.0000
13,1830,4344569.1611,63,269369.1659,0,0.0000
14,1107,5737077.2895,796,803430.9832,0,0.0000
15,1152,3469867.0432,5,3898.2826,0,0.0000
16,518,7334178.0154,0,0.0000,0,0.0000
17,599,2941512.6383,894,979237.7783,0,0.0000
18,1207,6807396.1217,26,532009.3682,0,0.0000
19,864,6568212.2139,1,8713.7526,0,0.0000
20,65861,1785930.6155,1978,209581.5249,0,0.0000
21,5751,2405596.7864,5151,3463599.9985,0,0.0000
22,5504,3165816.3443,1097,11472446.4914,0,0.0000
23,4413,1728364.2929,4150,3930886.2695,0,0.0000
24,695,2997875.9177,812,4672009.7711,0,0.0000
25,441,8483786.1832,165,8317922.5512,0,0.0000
26,837,5909351.3455,147,26083966.1118,0,0.0000
27,573,5112307.3309,122,47210264.1799,0,0.0000
28,428,10649865.9838,4,203876.9537,0,0.0000
29,1678,16984492.1286,2,4924.2321,0,0.0000
30,706,11361081.8925,1,1818.7171,0,0.0000
31,599,11468729.1580,72,329948.4635,0,0.0000
32,530,12396713.8170,0,0.0000,0,0.0000
33,810,15974686.0648,8,16694.6785,0,0.0000
34,733,11416935.4630,92,264601.3891,0,0.0000
35,1221,11304285.9099,311,2283912.7963,0,0.0000
36,370,13488223.4405,0,0.0000,0,0.0000
37,441,3880577.6993,919,10426067.9860,0,0.0000
38,547,6756874.8906,84,1898257.5325,0,0.0000
39,576,8901249.4791,94,1256109.4224,0,0.0000
40,561,25327148.3027,27,242460.2347,0,0.0000
41,336,16134017.8817,2,18800.5414,0,0.0000
42,202,9972363.4828,1,50641.1675,0,0.0000
43,740,15291950.2230,0,0.0000,0,0.0000
44,227,17636164.4053,0,0.0000,0,0.0000
45,98,11915041.8393,14,559597.3393,0,0.0000
46,297,23049214.0162,12,133460.0809,0,0.0000
47,171,27982375.1591,5,87381.9205,0,0.0000
48,111,27166967.4144,0,0.0000,0,0.0000
49,1528,10437238.3573,0,0.0000,0,0.0000
50,15682,124716759.4413,0,0.0000,0,0.0000
51,8242,10009406.7959,8,10179.7161,0,0.0000
52,287,2009003.1665,1311,2750703.5801,0,0.0000
53,270,14878228.3018,15,156029.6105,0,0.0000
54,390,15937485.2748,3,17860.4733,0,0.0000
55,521,19363453.4467,14,90936.7215,0,0.0000
56,578,24826480.6623,26,144214.5265,0,0.0000
57,484,54441186.5263,48,380210.0996,0,0.0000
58,176,13179114.8864,0,0.0000,0,0.0000
59,124,14915399.8871,0,0.0000,0,0.0000
60,164,18588064.2378,0,0.0000,0,0.0000
61,75,14634928.3067,0,0.0000,0,0.0000
62,172,15810043.3198,0,0.0000,0,0.0000
63,536,9160722.1862,1,5065.3706,0,0.0000
64,108,14302862.5648,0,0.0000,0,0.0000
65,39,25138710.0256,0,0.0000,0,0.0000
66,48,32427236.3469,1,1494519.5510,0,0.0000
67,43,23507799.0698,0,0.0000,0,0.0000
